date,home_team,away_team,home_score,away_score
2026-06-11,South Korea,Czech Republic,2,1
2026-06-12,Canada,Bosnia and Herzegovina,1,1
2026-06-12,United States,Paraguay,4,1
2026-06-13,Australia,Turkey,2,0
2026-06-13,Brazil,Morocco,1,1
2026-06-13,Haiti,Scotland,0,1
2026-06-13,Qatar,Switzerland,1,1
